Unnamed: 0,ID,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Course Name,Course URL / Code,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Certification URL,Is there a course with this certification?,Consolidated Course Name,Category,Activity,Support Group,Assigned To,Request Status,Start Date,End Date,Start Mo/Yr,End Mo/Yr,Start FY,End FY,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Individual Travel Hours,Rqst Tot Labor Hrs,Airfare,Hotel,Per Diem,Other,Estimated Individual Travel,Misc Expenses,Certification Fee,Conference Fee,Course Fee,Catering,Facility Rental,Vendor Charge,Direct Other Expenses,Describe Other Expenses,Direct Expense Impact,Rqst NPR Alloc,Rqst NPR OH,Cancel No Response,Created,Retroactive Start Date,Duplicates,Reporting Status
736,TAS0012776,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,SAP Federal Financials (IPSF15),https://training.sap.com/shop/course/ipsf15-federal-financials-classroom-002-us-en/?,SAP,,,,,,,SAP Federal Financials (IPSF15),SAP,SAP Federal Financials,TAS TC SAP Approval Group,,Training Complete,2/27/17 0:00,3/3/17,06_Feb,07_Mar,FY17,FY17,Career growth,,40.0,No,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1973.0,0,0,0,0,,,1973.0,0.0,True,42787.6897,True,NO,3. Complete
737,TAS0012922,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,SAP Federal Financials (IPSF15),https://training.sap.com/shop/course/ipsf15-federal-financials-classroom-002-us-en/?,SAP,,,,,,,SAP Federal Financials (IPSF15),SAP,SAP Federal Financials,TAS TC SAP Approval Group,,Training Complete,2/27/17 0:00,3/3/17,06_Feb,07_Mar,FY17,FY17,Career growth,,40.0,No,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1973.0,0,0,0,0,,,1973.0,0.0,True,42790.66485,True,NO,3. Complete
738,TAS0012629,TAS,NY GS 1345 Ave Americas,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,Technology Curriculum - Advanced Technology Architecture School,https://mylearning.accenture.com/myl-ui/learner/activityDetails?referrer=search&activityID=734144&so,,,,,,,,Technology Curriculum - Advanced Technology Architecture School,Tech Arch,Advanced Tech Arch School,TAS TC SAP Approval Group,,Training Complete,3/27/17 0:00,3/31/17,07_Mar,07_Mar,FY17,FY17,Accenture curriculum,,40.0,Yes,7.0,47.0,350.0,0.0,120.0,100.0,570.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,570.0,True,42779.68728,True,NO,3. Complete
739,TAS0012673,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,LDP - Harvard course and DTE webcasts,,,,,,,,,LDP - Harvard course and DTE webcasts,Leadership,Leadership Development Pgm (LDP),TAS TC SAP Approval Group,,Approved,1/17/17 0:00,5/7/17,05_Jan,09_May,FY17,FY17,Other,,68.0,No,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42781.376339999995,True,NO,2. Approved
740,TAS0012674,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,LDP ÛÒ January Workshop,,,,,,,,,LDP ÛÒ January Workshop,Leadership,Leadership Development Pgm (LDP),TAS TC SAP Approval Group,,Training Complete,1/24/17 0:00,1/26/17,05_Jan,05_Jan,FY17,FY17,Other,,24.0,No,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42781.377889999996,True,NO,3. Complete
741,TAS0013015,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,LDP ÛÒ January Workshop,,,,,,,,,LDP ÛÒ January Workshop,Leadership,Leadership Development Pgm (LDP),TAS TC SAP Approval Group,,Training Complete,1/24/17 0:00,1/26/17,05_Jan,05_Jan,FY17,FY17,Other,,24.0,No,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42794.47797,True,NO,3. Complete
742,MyL0122593,MyLearning,,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,,"LDP, CAL Dev, CAL Apprentice",Accenture,Classroom,St. Charles Learning Center,Leadership Development Program Final Workshop - (CXS300),CXS300,,,,,,,,Leadership Development Program Final Workshop - (CXS300),Leadership,Leadership Development Pgm (LDP),,,Approved,5/8/17 0:00,5/12/17,09_May,09_May,FY17,FY17,,,36.0,No,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6500.0,0,0,0,0,,,6500.0,0.0,,,,NO,2. Approved
743,TAS0013632,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,FY17 RISE Leadership Journey - LEARN and ENHANCE,https://rise.accenture.com/,,,,,,,,FY17 RISE Leadership Journey - LEARN and ENHANCE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,3/16/17 0:00,3/16/17,07_Mar,07_Mar,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42800.50872,True,NO,3. Complete
744,TAS0013917,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,A00741,,,,,,,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,3/16/17 0:00,3/16/17,07_Mar,07_Mar,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42803.48623,True,NO,3. Complete
745,TAS0014120,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,A00741,,,,,,,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,3/17/17 0:00,3/17/17,07_Mar,07_Mar,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42807.618910000005,True,NO,3. Complete
746,TAS0014341,TAS,Minneapolis Corp 333 S 7th,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,https://mylearning.accenture.com/accenture/lang-en/management/LMS_ActDetails.asp?ActivityId=1364664&,,,,,,,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,3/24/17 0:00,3/24/17,07_Mar,07_Mar,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42810.670860000006,True,NO,3. Complete
747,TAS0016208,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,A00755,,,,,,,,FY17 RISE Leadership Journey ÛÒ LEARN and ENHANCE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,4/28/17 0:00,4/28/17,08_Apr,08_Apr,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42851.57316,True,NO,3. Complete
748,TAS0015292,TAS,Florham Park Corp 500 Campus,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,"2 courses: ""Supervised Learning with scikit-learn"" and ""Deep Learning in Python""",https://www.datacamp.com/courses/topic:machine_learning,Datacamp,,,,,,,"2 courses: ""Supervised Learning with scikit-learn"" and ""Deep Learning in Python""",Cert prep,Machine Learning,TAS TC SAP Approval Group,,Training Complete,4/14/17 0:00,4/14/17,08_Apr,08_Apr,FY17,FY17,Upcoming project/role,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42835.457819999996,True,NO,3. Complete
749,TAS0013717,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,PluralSight License,A99056,,,,New,AWS Certified Solutions Architect- Associate Level,https://linuxacademy.com/amazon-web-services/training/course/name/aws-certified-solutions-architect-,Yes,AWS Certified Solutions Architect- Associate Level - PluralSight License,Cloud,AWS Certification,TAS TC SAP Approval Group,,Approved,3/7/17 0:00,5/31/17,07_Mar,09_May,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42801.3572,True,NO,2. Approved
750,TAS0010782,TAS,Philadelphia GS 2005 Market,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,"150 North Radnor Chester Road Suite E120 Radnor, Pennsylvania, 19087 United States Phone 1-888-828-9",Data Modeling for Qlik Sense,http://inter.viewcentral.com/events/cust/search_results.aspx?keyword=&cat2_id=2&event_type_id=261&ci,"QlikTech Radnor, PA",,,,,,,Data Modeling for Qlik Sense,ACN/AFS Curriculum,Qlik,TAS TC SAP Approval Group,,Training Complete,2/1/17 0:00,2/3/17,06_Feb,06_Feb,FY17,FY17,Current project/role,,30.0,Yes,2.0,32.0,0.0,0.0,30.0,15.0,45.0,0.0,0.0,0,2100.0,0,0,0,0,,,2100.0,45.0,True,42696.491389999996,True,NO,3. Complete
751,TAS0012544,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Conference  -  Technology Consulting  -  Vendor,Conference,Vendor,,"Orlando, FL",,,Qlik,Qlik Qonnections,,,,,,Qlik Qonnections,Leadership,Qlik,TAS TC SAP Approval Group,,Approval In Process,5/15/17 0:00,5/18/17,09_May,09_May,FY17,FY17,Current project/role,100.0,38.0,Yes,8.0,46.0,348.0,700.0,500.0,250.0,1798.0,0.0,0.0,1495,0.0,0,0,0,0,,,0.0,3293.0,True,42775.918410000006,True,NO,1. In Process
752,TAS0013350,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,PluralSight License,A99056,,,,New,AWS Solution Architect,A99056,Yes,AWS Solution Architect - PluralSight License,Cloud,AWS Certification,TAS TC SAP Approval Group,,Approved,3/2/17 0:00,6/30/17,07_Mar,10_Jun,FY17,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42796.60446,True,NO,
753,TAS0015541,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,,,AWS,,,New,AWS-Certified Solution Architect-Associate level,https://aws.amazon.com/certification/certified-solutions-architect-associate/,No,AWS-Certified Solution Architect-Associate level,Cloud,AWS Certification,TAS TC SAP Approval Group,,Training Complete,4/21/17 0:00,4/21/17,08_Apr,08_Apr,FY17,FY17,Career growth,,2.0,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0,0.0,0,0,0,0,,,0.0,150.0,True,42838.712269999996,True,NO,3. Complete
754,TAS0013847,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,FY17 RISE Leadership Journey-LEARN and ENHANCE,A00741-0015,,,,,,,,FY17 RISE Leadership Journey-LEARN and ENHANCE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,3/17/17 0:00,3/17/17,07_Mar,07_Mar,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42802.48932,True,NO,3. Complete
755,TAS0009427,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Conference  -  Technology Consulting  -  Accenture,Conference,Accenture,,"St Charles, IL",,,,FY17 NA-LA Technology Architecture Workshop,,,,,,FY17 NA-LA Technology Architecture Workshop,Tech Arch,TA Workshop,TAS TC SAP Approval Group,,Training Complete,9/21/16 0:00,9/23/16,01_Sep,01_Sep,FY17,FY17,Career growth,,16.0,Yes,2.0,18.0,300.0,0.0,0.0,0.0,300.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,300.0,True,42625.56078,True,NO,3. Complete
756,TAS0009355,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,A87921 - FY16 SAP Learning Hub,https://mylearning.accenture.com/atlas/Home.aspx#/activityDetails?referrer=search%253Ffilter%253DALL,SAP,,,,,,,A87921 - FY16 SAP Learning Hub,SAP,SAP Learning Hub,TAS TC SAP Approval Group,,Training Complete,9/2/16 0:00,9/30/16,01_Sep,01_Sep,FY17,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,346.75,0,0,0,0,,,346.75,0.0,True,42615.74802,True,NO,3. Complete
757,TAS0011797,TAS,Chicago GS 161 Clark St,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,Arlington VA.,SI Solution Architect Core Training,https://mylearning.accenture.com/myl-ui/learner/activityDetails?referrer=activitySupDetails.sessionD,,,,New,Accenture Technology Solution Architect Certification,https://kxsites.accenture.com/groups/TGPSA/Pages/TopicPages/CertificationProgram.aspx?lftTitle=Certi,Yes,Accenture Technology Solution Architect Certification - SI Solution Architect Core Training,Tech Arch,Solution Arch,TAS TC SAP Approval Group,,Approved,6/6/17 0:00,6/9/17,10_Jun,10_Jun,FY17,FY17,Accenture curriculum,,24.0,Yes,2.0,26.0,250.0,300.0,150.0,100.0,800.0,250.0,0.0,0,0.0,0,0,0,0,,,0.0,1050.0,True,42752.775519999996,True,NO,2. Approved
758,TAS0011305,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,SI Solution Architect Core Training Workshop,Z44280-0312,,,,New,SI Solution Architect,https://mylearning.accenture.com/myl-ui/learner/activityDetails?activityID=313656&activitySource=LMS,Yes,SI Solution Architect - SI Solution Architect Core Training Workshop,Sales,Solution Arch,TAS TC SAP Approval Group,,Training Complete,1/25/17 0:00,1/27/17,05_Jan,05_Jan,FY17,FY17,Accenture curriculum,,24.0,No,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42723.61597,True,NO,3. Complete
759,TAS0013714,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Accenture,Certification,Accenture,Virtual,,PluralSight License,A99056,,,,New,MCSD Azure Solutions Architect,A99056,Yes,MCSD Azure Solutions Architect - PluralSight License,Cloud,Azure Certification,TAS TDL Analyst Apprentice Approval Group,,Approved,3/7/17 0:00,7/31/17,07_Mar,11_Jul,FY17,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42801.02987,True,NO,
760,TAS0013534,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,9,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Virtual,,PluralSight license,A99056,,,,New,MCSD: Azure Solutions Architect,https://kxsites.accenture.com/groups/Azure/Pages/TopicPages/MSAzure-Certification.aspx,Yes,MCSD: Azure Solutions Architect - PluralSight license,Cloud,Azure Certification,TAS TC Emerging Technology Approval Group,,Training Complete,3/3/17 0:00,3/8/17,07_Mar,07_Mar,FY17,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42797.72477,True,NO,3. Complete
761,TAS0013845,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.003,TDL Analyst Apprentice,Analyst,TDL,11,TD,Technology Delivery,Certification  -  Technology Delivery  -  Vendor All Other,Certification,Vendor All Other,Virtual,,,,Pluralsight,,,New,,,No,,ServiceNow,Pluralsight,TAS TDL Analyst Apprentice Approval Group,,Training Complete,3/8/17 0:00,3/11/17,07_Mar,07_Mar,FY17,FY17,Other,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0,0.0,0,0,0,0,,,0.0,40.0,True,42802.48644,True,NO,3. Complete
762,TAS0011455,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,4,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,,,SAP America Inc,,,New,SAP Learning Hub/SuccessFactors,https://training.sap.com/shop/course/cer006-sap-certification-in-the-cloud-certification-online-010-,No,SAP Learning Hub/SuccessFactors,SAP,SAP Learning Hub,TAS TC SAP Approval Group,,Training Complete,12/28/16 0:00,2/3/17,04_Dec,06_Feb,FY17,FY17,Current project/role,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42731.71282,True,NO,3. Complete
763,TAS0009340,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,THR86 SAP SuccessFactors Compensation Academy,https://training.sap.com/shop/course/thr86-sap-successfactors-compensation-academy-remoteclassroom-0,SAP,,,New,SuccessFactors Certification,https://training.sap.com/shop/course/thr86-sap-successfactors-compensation-academy-remoteclassroom-0,Yes,SuccessFactors Certification - THR86 SAP SuccessFactors Compensation Academy,SAP,Success Factors,TAS TC SAP Approval Group,,Training Complete,9/19/16 0:00,9/30/16,01_Sep,01_Sep,FY17,FY17,Upcoming project/role,,45.0,No,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4725.0,0,0,0,0,,,4725.0,0.0,True,42615.11547,True,NO,3. Complete
764,TAS0010207,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Classroom,,Project Management Academy,https://projectmanagementacademy.net/pmp-certification/washington-dc,Prometric,,,New,Project Management Professional,https://www.prometric.com/en-us/Pages/home.aspx,Yes,Project Management Professional - Project Management Academy,Cert prep,PMP,TAS TC SAP Approval Group,,Training Complete,12/6/16 0:00,1/31/17,04_Dec,05_Jan,FY17,FY17,Career growth,,36.0,No,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0,1895.0,0,0,0,0,,,1895.0,555.0,True,42668.47135,True,NO,3. Complete
765,TAS0002111,TAS,Atlanta GS 75 Fifth,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,Project Management Professional,http://www.pmi.org/certification/project-management-professional-pmp.aspx,Project Management Institute,,,New,Project Management Professional (PMP),http://www.pmi.org/certification/project-management-professional-pmp.aspx,Yes,Project Management Professional (PMP) - Project Management Professional,Cert prep,PMP,TAS TC SAP Approval Group,,Training Complete,10/1/15 0:00,10/1/16,02_Oct,02_Oct,FY16,FY17,Other,,35.0,No,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0,405.0,0,0,0,0,,,405.0,139.0,True,42276.705369999996,True,NO,3. Complete
766,TAS0010856,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Classroom,,Sales Training with Dan Caramanico- Joint Navy and AF Accounts,http://www.caramanico.com/sales-training/,Dan Caramanico,,,,,,,Sales Training with Dan Caramanico- Joint Navy and AF Accounts,Should not have been approved,Sales Training Navy and AF Accounts (vendor),TAS TC SAP Approval Group,,Training Complete,12/6/16 0:00,12/6/16,04_Dec,04_Dec,FY17,FY17,Career growth,,2.0,No,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42702.65731,True,NO,3. Complete
767,TAS0015125,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Conference  -  Technology Consulting  -  Accenture,Conference,Accenture,,,,,,RISE,,,,,,RISE,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,4/13/17 0:00,4/13/17,08_Apr,08_Apr,FY17,FY17,Career growth,100.0,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42830.41508,True,NO,3. Complete
768,TAS0013630,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,Rise Consultant/Associate Manager Workshop,A00741-0014,,,,,,,,Rise Consultant/Associate Manager Workshop,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,3/16/17 0:00,3/16/17,07_Mar,07_Mar,FY17,FY17,Career growth,,12.0,No,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42800.50804,True,NO,3. Complete
769,TAS0016366,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,Rise Consultant/Associate Manager Workshop,A00741,,,,,,,,Rise Consultant/Associate Manager Workshop,Leadership,RISE,TAS TC SAP Approval Group,,Approved,3/16/17 0:00,3/16/17,07_Mar,07_Mar,FY17,FY17,Career growth,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42856.74395,True,NO,2. Approved
770,TAS0015155,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Conference  -  Technology Consulting  -  Accenture,Conference,Accenture,,,,,,Rise Manager Workshop,,,,,,Rise Manager Workshop,Leadership,RISE,TAS TC SAP Approval Group,,Training Complete,4/13/17 0:00,4/13/17,08_Apr,08_Apr,FY17,FY17,Career growth,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42830.55149,True,NO,3. Complete
771,TAS0012680,TAS,Philadelphia GS 2005 Market,01.01.206.008,TC SAP,SAP,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,New York Office,DevOps Academy for Executives - A10337-0011,A10337,,,,,,,,DevOps Academy for Executives - A10337-0011,Cert prep,DevOps Academy,TAS TC SAP Approval Group,,Approved,6/2/17 0:00,6/2/17,10_Jun,10_Jun,FY17,FY17,Current project/role,,8.0,Yes,3.0,11.0,500.0,0.0,50.0,0.0,550.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,550.0,True,42781.54245,True,NO,2. Approved
772,TAS0009181,TAS,Philadelphia GS 2005 Market,01.01.206.008,TC SAP,SAP,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Vendor All Other,Elective Course,Vendor All Other,Virtual,,FY16 SAP Learning Hub,A87921,SAP,,,,,,,FY16 SAP Learning Hub,SAP,SAP Learning Hub,TAS TC SAP Approval Group,,Approved,8/22/16 0:00,8/22/17,12_Aug,12_Aug,FY16,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,346.75,0,0,0,0,,,346.75,0.0,True,42604.74127,True,NO,2. Approved
773,TAS0008811,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.008,TC SAP,SAP,TC,9,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,,FY16 SAPexperts Online: BI Hub,a32555,,,,,,,,FY16 SAPexperts Online: BI Hub,Oracle,SAP Learning Hub,TAS TC SAP Approval Group,,Approved,8/3/16 0:00,8/2/17,12_Aug,12_Aug,FY16,FY17,Career growth,,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42580.67432,True,NO,2. Approved
